id,title,text,loc,hiking_url
5,咬人狗坑登山步道(三汀山),"咬人狗坑登山步道是登頂三汀山的主要步道，鄰近都會生活圈，設計規劃完善，適合親子郊遊、健行。

三汀山位於台中盆地東側，是距離台中市區最近的小百岳，山頂平台頗為寬廣，設有瞭望台，近可俯瞰頭汴坑溪、一江橋、大潭仔（台灣潭），遠可眺望台中盆地、大肚台地、鐵砧山及八卦山台地，著名地標如高鐵站、台中市最高大樓「Hotel ONE」等皆一覽無遺，展望極佳，無怪乎被選為小百岳。

除了咬人狗坑登山步道主線外，三汀山周圍另有五條登山步道支線，經由咬人狗坑步道串連，最後皆通往三汀山頂，唯步道支線坡度較陡，前往民眾可視體力自行選擇路線行走。",台中市太平區,https://hiking.biji.co/index.php?q=trail&act=detail&id=5
6,鯉魚山親山步道,"內湖人氣極佳的三座郊山包括忠勇山、鯉魚山及圓覺尖山，又叫內湖三尖。

鯉魚山位於忠勇山東南方，兩山連稜，有顆四等三角點，整座山勢呈頭高尾低，因酷似鯉魚而得名，也有人稱小坑尖山，若由兩旁斜坡望去，可見陡峭山勢和濃密樹林延伸至山腰下的自然景象，非常好看。 ",台北市內湖區,https://hiking.biji.co/index.php?q=trail&act=detail&id=6
9,錐麓古道,"錐麓古道原為日治時期開鑿的合歡越嶺道路的一部份，如今合歡越嶺古道的許多路段已開築為中部橫貫公路，錐麓古道是原貌保存較好的一段。

錐麓古道在海拔700~800公尺左右，沿著斷崖峭壁，以人工一錘一鑿地在大理石面上開出一條小徑。仰望是高七百公尺的絕壁，似乎連飛鳥也難以駐足；俯瞰是深五百公尺的懸崖，立霧溪蜿蜒如帶，公路細小如絲。身處在這落差超過一千二百公尺的峭壁中，陡峭深邃的大理石峽谷如同地殼上一條巨大的裂縫，景觀怎麼能不壯闊，看的人怎麼能不動容呢？",花蓮縣秀林鄉,https://hiking.biji.co/index.php?q=trail&act=detail&id=9
10,頂山石梯嶺步道,"位於「陽明山國家公園」東區，頂山、石梯嶺的稜脊線，因係昔日大屯山與七星山火山熔岩覆蓋所形成，故其山型不明顯且較為平緩。步道全程起伏不大，最高處（石梯嶺）僅八百多公尺，卻擁有可與高山媲美的遼闊視野與豐富多樣的景觀，沿途行經金包里大路城門、磺嘴山登山口、石梯嶺、頂山，最後抵達萬溪產業道路之風櫃嘴登山口。 

步道有幽靜森林、有繽紛杜鵑、有青青草原，更有一覽無遺的連綿山峰、可與附近的擎天崗環形步道、磺嘴山及高頂山、魚路等多條古道相通，無論從風櫃嘴或擎天崗起登，皆有公車可達，短短三小時，爬升不到三百公尺，便能領略山區縱走的快意，是一段老少咸宜、百走不厭的健行踏青路線。",臺北市士林區,https://hiking.biji.co/index.php?q=trail&act=detail&id=10
12,南仁山生態步道,"南仁山生態保護區是一個遠離塵囂的世外桃源，面積廣達5587.05公頃，區內為天然熱帶季風林雨林，是台灣僅存的低海拔原始林。

受到季風及雨量的影響，步道有非常豐富的生態景觀，在此棲息的鳥類高達上百種，蝴蝶也高達一百多種，各型各色的爬蟲類、兩棲類、哺乳類生物也相當豐富；由於具備有暖溫帶、亞熱帶與熱帶雨林共存的特殊景觀，植物種類高達上千種，為一大自然的寶庫。步道盡頭為南仁湖，為一四周群山環繞終年不枯的天然淡水湖，更是南仁水域中最大的靜水生態系統。

走上一回南仁山生態步道，會看到大自然最不做作的原貌，令人心境舒坦、發現單純的美好。",屏東縣滿州鄉,https://hiking.biji.co/index.php?q=trail&act=detail&id=12
30,忘憂谷步道,"看山好，還是看海好？不用猶豫了，八斗子忘憂(望幽)谷步道給你兩全其美的享受！

沿著步道走來，可以看到綠草如茵的忘憂谷、波濤洶湧的基隆嶼還有層層疊疊的山脈，當然，也可以下到潮間帶欣賞古老的化石、可愛的蝦兵蟹將，也能觀察特殊的海蝕地形。不僅如此，身邊隨時有各種色彩繽紛的蝴蝶翩然飛舞，抬頭一望，也能看到氣宇軒昂的大冠鷲或黑鳶，簡直是海陸空超值套餐之旅。

除了看山看海，忘憂谷步道的稜頂涼亭及101高地也是看日出、夕陽與夜景的超棒地點，「忘憂」之名果然名符其實！",基隆市,https://hiking.biji.co/index.php?q=trail&act=detail&id=30
31,圓山水神社步道,"圓山水神社距離繁華熱鬧的士林夜市不過相隔一步之遙，卻如時光凍結的秘境，鮮有人知。

日治昭和時期，因為臺北城人口遽增，用水不足，所以政府決定興建草山水道系統。水道開鑿過程艱難，造成許多人員傷亡。隨後，為了祭悼亡靈並且守護水源，就在圓山貯水池旁建造了圓山水神社。

離開熱鬧的中山北路、轉入綠蔭遮蔽的步道，不久後就會看到圓山貯水池。當年臺北人所仰賴的水道設施，如今已經退役，靜靜供人觀賞。再循著參道往前到神社，狛犬依然守在殿前，只是主殿內的神祇已隨著政權的更迭而改變。儘管物換星移，但不變的是神社依然散發出寧靜祥和的氛圍，在嘈雜的都市裡更顯得獨特。",台北市士林區,https://hiking.biji.co/index.php?q=trail&act=detail&id=31
32,狗殷勤古道,"狗殷勤古道又名尾崙水圳步道。古道分為三段，由高而低依序為竹林步道、尾崙古圳步道，以及永公路40巷至故宮後山。一般所指的狗殷勤古道是較易於行走的竹林步道與尾崙古圳步道，也是目前較熱門的路線。

「狗殷勤」帶給人可愛誤會，乍聽之下，以為古道上的狗都很勤勞。其實，這三個字應以閩南語發音，讀作Kau-un-Khun，意為狗趴著昏睡。不過，古道上不是真的很多狗在昏睡，而是這附近的地形平坦，像隻趴睡的狗。

在炎炎夏日造訪狗殷勤古道是個不錯的選擇，沿著潺潺流水的古圳前進，頭上有濃濃樹蔭遮蓋，腳下坡度緩緩好行，仔細看看身旁樹林間，還會發現有趣的裝置藝術喔！",台北市士林區,https://hiking.biji.co/index.php?q=trail&act=detail&id=32
33,翠山步道,位於士林區中社路底原為士林分局射擊靶場，該靶場因地形平坦廣闊，射擊訓練發出巨大聲響，造成當地居民困擾。經過市府相關單位多次討論，決定將靶場轉型為具休憩功能之登山步道場域，並於步道延線栽植200株青剛櫟、臺灣欒樹、杜英、楊梅、紅楠等五種喬木，步道沿途視野開闊、綠意盎然。,台北市士林區,https://hiking.biji.co/index.php?q=trail&act=detail&id=33
34,劍潭山親山步道,"劍潭山海拔153公尺，位於台北市士林區圓山風景區，是圓山飯店後山的北稜，也是台北市最接近市中心的小山，沿著稜脊步道緩緩前行可抵達其他山岳，走起來幾乎是輕鬆自在，在交通便捷上佔有極大之優勢。

登山口位於中山北路四段公車劍潭站旁，這裡曾是軍事管制區與保安林地，因此自然林相與生態植物保存的相當完整；步道兩旁許多人工栽種植被與經濟植物，讓步道充滿盎然的綠色魅力。

這條步道已成為市民晨運健身的場所，如位於稜線上「老地方」，就是大家熟知的健身據點。步道沿途可以欣賞圓山飯店、基隆河河濱公園等景致，步道盡頭為大直的通北街165巷、北安路口處，是一條坡緩易行的郊山步道。",台北市士林區,https://hiking.biji.co/index.php?q=trail&act=detail&id=34
